chinese,pinyin,pali,sanskrit,context,category,notes,source,trans_known,added_by
地獄門中僧道多,,,,,,,S01,At the door of hell are many monastics,pai8788@gmail.com
佛國,,,,,,,S01,the land of the Buddha,pai8788@gmail.com
早晚課誦,,,,,,,S01,"daily sutra reciting/chanting; regular morning and evening sessions for chanting, meditating and practicing Dharma",pai8788@gmail.com
自覺,,,,,,,S01,have a mind aware of...; self-awareness;,pai8788@gmail.com
解脫法寶,,,,,,,S01,liberating Dharma treasure,pai8788@gmail.com
離苦；離苦得樂,,,,,,,S01,to end suffering; to be free from suffering and attain happiness,pai8788@gmail.com
八風；為八風所動,,,,,,,S01,be moved by the Eight Winds,pai8788@gmail.com
八風吹不動,,,,,,,S01,be unmoved by the Eight Winds,pai8788@gmail.com
(大)聖者,,,,,,,S01,a Great Holy One,pai8788@gmail.com
(大)菩薩,,,,,,,S01,a Great Bodhisattva,pai8788@gmail.com
難得人身,,,,,,,S01,this hard to obtain rebirth as a human being,pai8788@gmail.com
得果成地；證果登地,,,,,,,S01,attain the fruits and stages,pai8788@gmail.com
佛降甘露頂,,,,,,,S01,Buddhas Bestow Nectar Initiation; the Buddhas bestow nectar from the sky 佛降甘露,pai8788@gmail.com
實修實證；實證實修,,,,,,,S01,true cultivation and true realization,pai8788@gmail.com
虛名,,,,,,,S01,empty title,pai8788@gmail.com
經教子,,,,,,,S01,sutra teacher,pai8788@gmail.com
經書論著,,,,,,,S01,sutras and commentaries,pai8788@gmail.com
法義教條,,,,,,,S01,the meaning of the Dharma and the doctrines,pai8788@gmail.com
法理,,,,,,,S01,Dharma principles,pai8788@gmail.com
佛學大家；佛學大師,,,,,,,S01,great scholars of Buddhism,pai8788@gmail.com
實證功夫,,,,,,,S01,the skills of true realization; the power of true reallization,pai8788@gmail.com
(展顯)法力,,,,,,,S01,(the manifestation of) Dharma power,pai8788@gmail.com
依理而行,,,,,,,S01,act in accordance with the principles; put into practice the principles one has learned,pai8788@gmail.com
依行入法,,,,,,,S01,,pai8788@gmail.com
依法入修,,,,,,,S01,practice according to the Dharma,pai8788@gmail.com
學佛修行,,,,,,,S01,learning and practicing Buddhism; learn Buddhism and practice the Dharma,pai8788@gmail.com
殊勝受用,,,,,,,S01,be of immense/great/wonderfulmarvelous use/benefit;,pai8788@gmail.com
依止上師,,,,,,,S01,follow a Master,pai8788@gmail.com
皈依佛門,,,,,,,S01,taking refuge in Buddhism,pai8788@gmail.com
觀想；修觀,,,,,,,S01,visualize; practice visualization,pai8788@gmail.com
散亂,,,,,,,S01,unfocused/distracted mind,pai8788@gmail.com
昏沉,,,,,,,S01,drowsiness; drowsy; scattered,pai8788@gmail.com
掉舉,,,,,,,S01,(concentration) becomes unsteady,pai8788@gmail.com
懈怠,,,,,,,S01,become lazy/loose,pai8788@gmail.com
助緣力,,,,,,,S01,apply force to strengthen one's concentration,pai8788@gmail.com
加行力,,,,,,,S01,,pai8788@gmail.com
正知力,,,,,,,S01,the power/strength of correct understanding,pai8788@gmail.com
法要,,,,,,,S01,the essentials/essence of the Dharma,pai8788@gmail.com
（結）手印,,,,,,,S01,put hands in a certain mudra;,pai8788@gmail.com
（修）曼達；修曼達供,,,,,,,S01,the practice of the mandala; practice the mandala offering; practice the mandala Dharma offering,pai8788@gmail.com
傳法；傳法儀軌,,,,,,,S01,transmit the Dharma; Dharma transmitting rituals,pai8788@gmail.com
須彌山,,,,,,,S01,Mt. Sumeru,pai8788@gmail.com
四大部洲,,,,,,,S01,(visualizing Mt. Sumeru and) the four great continents around it,pai8788@gmail.com
佛陀師父,,,,,,,S01,Buddha Master,pai8788@gmail.com
心生怖畏,,,,,,,S01,give rise to a horror/fear of; be extremely frightened;,pai8788@gmail.com
夢幻泡影,,,,,,,S01,"everything is like dream, illusions, bubbles, shadows",pai8788@gmail.com
過眼雲烟,,,,,,,S01,like smoke or clouds passing before eyes,pai8788@gmail.com
海市蜃樓,,,,,,,S01,mirage; it is all just a mirage,pai8788@gmail.com
六道衆生,,,,,,,S01,all living beings in the six realms (of existence),pai8788@gmail.com
假象/假相,,,,,,,S01,(any of the) manifold false apprearances/phenomena,pai8788@gmail.com
罣礙；挂礙,,,,,,,S01,impediment(s); obstacle; obstruction; hindrance;,pai8788@gmail.com
世象/世相,,,,,,,S01,worldly apprearances/phenomena,pai8788@gmail.com
世事無常,,,,,,,S01,all worldly apprearances/phenomena are impermanent,pai8788@gmail.com
履行誓願,,,,,,,S01,fulfill one's vows,pai8788@gmail.com
無間地獄,,,,,,,S01,the hell realm of uninterrupted suffering,pai8788@gmail.com
得大智慧,,,,,,,S01,realizing great wisdom (and great supernormal powers),pai8788@gmail.com
求道,,,,,,,S01,seek a path of true liberation; seek for liberation; seeking enlightenment; search for engligtenment,pai8788@gmail.com
俗務,,,,,,,S01,worldly affairs/matters/engagement;,pai8788@gmail.com
邊見,,,,,,,S01,narrow viewpoint,pai8788@gmail.com
煩惱即菩提,,,,,,,S01,the defilements are the same as enlightenment; afflictions are bodhi,pai8788@gmail.com
行住坐臥,,,,,,,S01,"walking, standing, sitting and lying down",pai8788@gmail.com
做一天和尚撞一天鐘,,,,,,,S01,like the monk who purfunctorily,pai8788@gmail.com
禪門,,,,,,,S01,Zen (Chan) Buddhism; Zen school,pai8788@gmail.com
求法行道,,,,,,,S01,seek the Dharma and walk on the path of truth,pai8788@gmail.com
禪定,,,,,,,S01,,pai8788@gmail.com
坐香,,,,,,,S01,,pai8788@gmail.com
參話頭,,,,,,,S01,meditating or contemplating the answers to koans,pai8788@gmail.com
世法即佛法；,,,,,,,S01,Buddha Dharma originates from worldly Dharma; leaves behind worldly Dharma then there's no Buddha Dharma;,pai8788@gmail.com
悟道,,,,,,,S01,realize the truth; having attained understanding or awareness,pai8788@gmail.com
兜率天内外院,,,,,,,S01,ascend to the inner and outer palace of Tusita Heaven,pai8788@gmail.com
（犯）五十戒,,,,,,,S01,violate 50 precepts (?),pai8788@gmail.com
心緣一境,,,,,,,S01,a focused mind,pai8788@gmail.com
明心見性；知其本性,,,,,,,S01,understand one's origingal nature,pai8788@gmail.com
一念成真,,,,,,,S01,,pai8788@gmail.com
聖母上師,,,,,,,S01,the Holy Mother Master,pai8788@gmail.com
叩首,,,,,,,S01,kowtow,pai8788@gmail.com
根性駑鈍,,,,,,,S01,dimwittedness,pai8788@gmail.com
隨緣教化,,,,,,,S01,educate according to the circumstances at the time,pai8788@gmail.com
（犯）三昧耶戒,,,,,,,S01,(violate) the Samaya Precepts,pai8788@gmail.com
恩師,,,,,,,S01,respected Master,pai8788@gmail.com
幻化因緣(顯)；因緣幻化,,,,,,,S01,illusory manifestation of causes and conditions,pai8788@gmail.com
妙有真空(樂),,,,,,,S01,"wonderful manifestion of true void, which is true bliss",pai8788@gmail.com
根性,,,,,,,S01,innate capacity,pai8788@gmail.com
業障現前,,,,,,,S01,negative karma manifests,pai8788@gmail.com
靜坐,,,,,,,S01,meditation,pai8788@gmail.com
聼法；聞法,,,,,,,S01,listening to/hearing Dharma/Dharma discourses/Dharma lectures; listening to prerecorded Dharma discourses,pai8788@gmail.com
無常迅速,,,,,,,S01,death is fast approaching,pai8788@gmail.com
修法；做課,,,,,,,S01,practice Dharma; practice tantra; daily practice,pai8788@gmail.com
古德,,,,,,,S01,ancient virtuous one,pai8788@gmail.com
六根（眼耳鼻舌身意）,,,,,,,S01,"six bases/sense organs: eyes, ears, nose, tongue, body, mind",pai8788@gmail.com
六塵,,,,,,,S01,six dust/,pai8788@gmail.com
隨境所遷,,,,,,,S01,be moved/influenced by external conditions,pai8788@gmail.com
外境,,,,,,,S01,external conditions/objects,pai8788@gmail.com
道境,,,,,,,S01,state of realization,pai8788@gmail.com
定境,,,,,,,S01,state of concentration,pai8788@gmail.com
心識遷流,,,,,,,S01,mind is moved,pai8788@gmail.com
（落入）常邊二見；斷常二見,,,,,,,S01,fall into the extreme viewpont of eternalism?,pai8788@gmail.com
（離）斷常邊見,,,,,,,S01,(avoid) the two extreme viewpoints of total annilhilation and perpetual existence,pai8788@gmail.com
凡夫心識；凡夫意境,,,,,,,S01,an ordinary person's state of mind; the state of an ordinary person,pai8788@gmail.com
八識心王,,,,,,,S01,eighth consciousness,pai8788@gmail.com
大悟 中悟 小悟 已悟 未悟,,,,,,,S01,"those with great/medium/slight understanding of the truth, already understand the truth, and those who do not understand the truth",pai8788@gmail.com
中道；中道之觀；中觀,,,,,,,S01,the middle way; the viewpoint of the middle way,pai8788@gmail.com
所知障,,,,,,,S01,,pai8788@gmail.com
根塵相對,,,,,,,S01,,pai8788@gmail.com
徹見,,,,,,,S01,thoroughly perceive/realize,pai8788@gmail.com
寂寂心性；寂滅性；心性寂滅,,,,,,,S01,the silent and still nature of mind; in a state of utter tranquility,pai8788@gmail.com
空有不二,,,,,,,S01,nothiingness and somethingness are not different; the oneness/sameness of emptiness/nothingness and somethingness,pai8788@gmail.com
真空妙有,,,,,,,S01,all manifested things are true emptiness in nature,pai8788@gmail.com
真空即妙有,,,,,,,S01,true emptiness is the same as marvelous existence; non-being is the same as marvelous being,pai8788@gmail.com
不二法門,,,,,,,S01,the one and undivided truth of the Dharma; the undivided truth,pai8788@gmail.com
住空而不執空,,,,,,,S01,abide in emptiness but not attached to emptiness,pai8788@gmail.com
實相；實相境,,,,,,,S01,realize the reality,pai8788@gmail.com
俗諦即聖諦；本源一體,,,,,,,S01,mundane and holy are the same; It is all one and the same; there is no distinction between the mundane and the holy,pai8788@gmail.com
本源一體；無一無二,,,,,,,S01,(It is) all one and the same; are one and the same,pai8788@gmail.com
一柱香,,,,,,,S01,short daily periods of meditation?,pai8788@gmail.com
悟見證；見悟證,,,,,,,S01,understand-see-realize,pai8788@gmail.com
出世（者）,,,,,,,S01,(one who) renounces this world,pai8788@gmail.com
實際功夫,,,,,,,S01,possess true skills,pai8788@gmail.com
自由任運；任運自如；,,,,,,,S01,attain complete freedom and control; be in total control as one wishes 155,pai8788@gmail.com
失道,,,,,,,S01,loss of the way to liberation,pai8788@gmail.com
滅境,,,,,,,S01,a state of nihilism,pai8788@gmail.com
未證言證，未得言得,,,,,,,S01,telling others that one has attained true realization and true accomplisment when one has not; having said they attained realization when in fact they had not,pai8788@gmail.com
大疑大悟 小疑小悟 不疑不悟,,,,,,,S01,Those who have great/small doubts (questions) will obtain great/small understanding. Those who have no doubts (questions) will not obtain any understanding.,pai8788@gmail.com
謂有所得，實無所得,,,,,,,S01,One is said to have attained something. In truth ther is no attainment.,pai8788@gmail.com
方便法門,,,,,,,S01,an expedient method of communicating,pai8788@gmail.com
三般若（文字 觀照 實相）,,,,,,,S01,three types of prajna (prajna obtained through the written word; prajan obtained through contemplating reality; realize the prajna of ultimate reality,pai8788@gmail.com
如如而住,,,,,,,S01,abide in total peace,pai8788@gmail.com
任運而住,,,,,,,S01,abide in total freedom,pai8788@gmail.com
（非）離色取空,,,,,,,S01,one does not ignore all form and only think of emptiness,pai8788@gmail.com
（亦非）離空取色,,,,,,,S01,nor does one ignore emptiness and only think of form,pai8788@gmail.com
色空一體；本源一體；色空本源一體,,,,,,,S01,form and emptiness are one and the same,pai8788@gmail.com
人我執,,,,,,,S01,hold the concept of permanent self that is seperate from others,pai8788@gmail.com
法執,,,,,,,S01,attach to the Dharma of liberation,pai8788@gmail.com
靜坐禪修,,,,,,,S01,meditate and zen practice,pai8788@gmail.com
大圓空光,,,,,,,S01,the Great and Perfect Empty Brightness Dharma,pai8788@gmail.com
且伽妥噶,,,,,,,S01,Qie Jia Tuo Ga Dharma,pai8788@gmail.com
氣脈明點,,,,,,,S01,energy channels and points,pai8788@gmail.com
化虹光身,,,,,,,S01,transform oneself into the rainbow body,pai8788@gmail.com
佛法在世間，不離世間覺,,,,,,,S01,"Since the Buddha Dharma exists within this very world, full enlightenment must include awareness of the ultimate realities of the world.",pai8788@gmail.com
下等根器,,,,,,,S01,inferior innate capacity,pai8788@gmail.com
徹悟,,,,,,,S01,have thoroughly understood principles; have attained total awareness,pai8788@gmail.com
漸悟,,,,,,,S01,gradual awakening,pai8788@gmail.com
頓悟,,,,,,,S01,sudden awakening,pai8788@gmail.com
光明大手印,,,,,,,S01,Mahamudra of Brightness,pai8788@gmail.com
心中心,,,,,,,S01,the Mind Within the Mind,pai8788@gmail.com
定力,,,,,,,S01,concentration; mental focus,pai8788@gmail.com
正知覺照,,,,,,,S01,correct awareness,pai8788@gmail.com
如來大定,,,,,,,S01,have attained the great concentration of a Tatjagata,pai8788@gmail.com
有爲法,,,,,,,S01,conditioned phenomena,pai8788@gmail.com
無爲法,,,,,,,S01,unconditioned Dharma,pai8788@gmail.com
懂得因果,,,,,,,S01,understanding cause and effect,pai8788@gmail.com
明信因果,,,,,,,S01,clearly believing in cause and effect,pai8788@gmail.com
成住壞空,,,,,,,S01,"the four stages of arising, subsisting, changing and passing away",pai8788@gmail.com
先知,,,,,,,S01,prophet,pai8788@gmail.com
知見,,,,,,,S01,viewpoints; understanding; views;,pai8788@gmail.com
佛法界,,,,,,,S01,all Buddhist circles,pai8788@gmail.com
我慢,,,,,,,S01,egotism;,pai8788@gmail.com
成就者;大成就者,,,,,,,S01,an Accomplished One; one of great accomplishment,pai8788@gmail.com
密勒日巴大師,,,,,,,S01,Master Milarepa,pai8788@gmail.com
聖理二量（聖教量；理量）,,,,,,,S01,聖教量 the actual realization of emptiness；理量 the principles of emptiness,pai8788@gmail.com
去惡揚善,,,,,,,S01,rid of any evil and do all good; diligently do good and diligently eschew evil,pai8788@gmail.com
償還業債,,,,,,,S01,pay back karmic debt,pai8788@gmail.com
供養諸佛菩薩,,,,,,,S01,make offerings to Buddhas and Bodhisattvas,pai8788@gmail.com
供養三寶,,,,,,,S01,make offerings to the Three Jewels,pai8788@gmail.com
無明犯罪；無明造業,,,,,,,S01,commit offenses/create karmas through ignorance,pai8788@gmail.com
虔誠恭敬三寶,,,,,,,S01,devoutly respectful toward the Three Jewels,pai8788@gmail.com
依怙三寶,,,,,,,S01,rely on the Three Jewels,pai8788@gmail.com
成就無礙,,,,,,,S01,attain liberation without (meeting) hindrances,pai8788@gmail.com
戒行嚴謹,,,,,,,S01,strictly abide by the rules and precepts,pai8788@gmail.com
心存正念；心無正念,,,,,,,S01,minds contain upright thoughts； one's mind do not contain upright thoughts,pai8788@gmail.com
緣起而生，緣盡而滅,,,,,,,S01,everything comes into being through the occurrence of certain causes and conditions and passes away with the cessation of such causes and conditions,pai8788@gmail.com
宇宙萬物之真諦,,,,,,,S01,the true essence of everything in the universe,pai8788@gmail.com
黑白二業；黑業；白業,,,,,,,S01,(produce) bad/negative and good karma,pai8788@gmail.com
發心,,,,,,,S01,resolve to,pai8788@gmail.com
貪瞋痴愛喜怒哀樂,,,,,,,S01,"greed, hatred, ignorance, craving, joy, anger, sorrow, pleasure",pai8788@gmail.com
正行,,,,,,,S01,act correctly; correct action,pai8788@gmail.com
無上佛陀證境,,,,,,,S01,attain the supreme state of a Buddha,pai8788@gmail.com
四眾弟子,,,,,,,S01,"four types of practitioners (monks, nuns, male and female lay adherents/disciples)",pai8788@gmail.com
往生,,,,,,,S01,be reincarnated into; be born into,pai8788@gmail.com
（有/持/生起）恭敬心,,,,,,,S01,(have/keep/maintain/give rise to/generate) a respectful heart; the respect in one's heart; (have),pai8788@gmail.com
神通示現；神通展顯；神通本事,,,,,,,S01,manifest miraculous powers; supernormal skills,pai8788@gmail.com
平常心,,,,,,,S01,an ordinary heart? 221/150,pai8788@gmail.com
因緣,,,,,,,S01,karmic destiny; karmic condition,pai8788@gmail.com
深者見深，淺者見淺,,,,,,,S01,Those who are deep see deeply; those who are shallow see shallowly.,pai8788@gmail.com
西密,,,,,,,S01,Tibetan tantra,pai8788@gmail.com
密勒日巴大師,,,,,,,S01,Master Milerepa,pai8788@gmail.com
岡布巴(岡波巴),,,,,,,S01,Gampopa,pai8788@gmail.com
苦行,,,,,,,S01,undergo difficulties and hardships,pai8788@gmail.com
菩提境界,,,,,,,S01,attain the state of bodhi,pai8788@gmail.com
大乘願力,,,,,,,S01,Mahayana vows,pai8788@gmail.com
精進修行,,,,,,,S01,energetically cultivate oneself; cultivate diligently/vigorously/energetically; exert effort to cultivate/practice;,pai8788@gmail.com
五部内密,,,,,,,S01,the five divisions of Inner-Tantric Initiations,pai8788@gmail.com
大摩訶薩,,,,,,,S01,a Great Mahasattva,pai8788@gmail.com
觀音菩薩,,,,,,,S01,Kuan Yin Bodhisattva,pai8788@gmail.com
視師如佛,,,,,,,S01,"treat and respect your Master, who is like a Buddha; treat the Master being no different from the Buddha",pai8788@gmail.com
無二無別；沒有分別,,,,,,,S01,being no different from; does not make disction between,pai8788@gmail.com
如恆河沙數,,,,,,,S01,as myriad as the sands of Ganges River,pai8788@gmail.com
（持）如杖法寶,,,,,,,S01,lift up the Dharma Treasure Staff,pai8788@gmail.com
黑業垢障,,,,,,,S01,negative karma and impurities,pai8788@gmail.com
垢障,,,,,,,S01,defilement and obstruction,pai8788@gmail.com
所知障,,,,,,,S01,obstructions caused by one's present knowledge,pai8788@gmail.com
舉正法幢,,,,,,,S01,raise high the banner of the correct Dharma,pai8788@gmail.com
傳承,,,,,,,S01,a true spiritual legacy; lineage?,pai8788@gmail.com
謗師,,,,,,,S01,maligning/slandering one's master,pai8788@gmail.com
擇師,,,,,,,S01,the selection of a master; selecting a master,pai8788@gmail.com
如魔附體；邪魔附體；入魔（境）,,,,,,,S01,(like) demons closely attached to one's body; become diabolically possessed; enter into a diabolical state 招魔；入魔（境）,pai8788@gmail.com
（增加/減損）功德福報；福報功德,,,,,,,S01,(increase/decrease) merit and blessings,pai8788@gmail.com
生起明覺,,,,,,,S01,give rise to bright awareness,pai8788@gmail.com
輕安覺受,,,,,,,S01,experience a feeling of light peace,pai8788@gmail.com
大輕安,,,,,,,S01,experience a feeling of great peace,pai8788@gmail.com
刹那間,,,,,,,S01,instantaneously,pai8788@gmail.com
陰魔,,,,,,,S01,hidden devil,pai8788@gmail.com
道場（主寺和分院）,,,,,,,S01,main temples and subsidiary temples,pai8788@gmail.com
共修處,,,,,,,S01,group cultivation places,pai8788@gmail.com
精舍,,,,,,,S01,monasteries,pai8788@gmail.com
廟宇,,,,,,,S01,temples,pai8788@gmail.com
中心；會所,,,,,,,S01,centers,pai8788@gmail.com
基金會,,,,,,,S01,foundations,pai8788@gmail.com
習氣,,,,,,,S01,habitual tendencies,pai8788@gmail.com
弘法利生,,,,,,,S01,the undertaking of spreading the Buddha Dharma and benefiting living beings,pai8788@gmail.com
徒勞行,,,,,,,S01,futile practice; one's practice is futile,pai8788@gmail.com
讚嘆,,,,,,,S01,praise,pai8788@gmail.com
勝義因緣,,,,,,,S01,wonderful opportunity,pai8788@gmail.com
關房,,,,,,,S01,,pai8788@gmail.com
精進,,,,,,,S01,exert effort; exert a vast amount of energy,pai8788@gmail.com
五毒,,,,,,,S01,,pai8788@gmail.com
受口訣,,,,,,,S01,,pai8788@gmail.com
三界六道,,,,,,,S01,,pai8788@gmail.com
空願力,,,,,,,S01,,pai8788@gmail.com
破毀誓願,,,,,,,S01,break one's vows,pai8788@gmail.com
世法利益,,,,,,,S01,,pai8788@gmail.com
佛法原則,,,,,,,S01,,pai8788@gmail.com
依法不依人,,,,,,,S01,,pai8788@gmail.com
皈依,,,,,,,S01,,pai8788@gmail.com
發（大乘）菩提心,,,,,,,S01,,pai8788@gmail.com
無量衆生誓願渡,,,,,,,S01,,pai8788@gmail.com
無邊煩惱誓願斷,,,,,,,S01,,pai8788@gmail.com
護法空行,,,,,,,S01,,pai8788@gmail.com
覺醒,,,,,,,S01,,pai8788@gmail.com
慧劍,,,,,,,S01,,pai8788@gmail.com
烈焰地獄,,,,,,,S01,,pai8788@gmail.com
刀山地獄,,,,,,,S01,,pai8788@gmail.com
密法,,,,,,,S01,,pai8788@gmail.com
傳法；傳法儀軌,,,,,,,S01,transmit the Dharma; Dharma transmitting rituals,pai8788@gmail.com
（生起）本尊佛慢,,,,,,,S01,,pai8788@gmail.com
外密灌頂,,,,,,,S01,,pai8788@gmail.com
内密灌頂,,,,,,,S01,,pai8788@gmail.com
跟佛菩薩相通,,,,,,,S01,,pai8788@gmail.com
法力神通展現；神通法力表法,,,,,,,S01,the manifestation of supernormal Dharma power,pai8788@gmail.com
五部灌頂,,,,,,,S01,,pai8788@gmail.com
《入法門論》,,,,,,,S01,,pai8788@gmail.com
金剛三昧灌頂,,,,,,,S01,,pai8788@gmail.com
吉祥擇決灌頂,,,,,,,S01,,pai8788@gmail.com
法輪通聖灌頂,,,,,,,S01,,pai8788@gmail.com
佛降甘露灌頂,,,,,,,S01,,pai8788@gmail.com
金瓶摯籤灌頂,,,,,,,S01,,pai8788@gmail.com
部主,,,,,,,S01,,pai8788@gmail.com
部母,,,,,,,S01,,pai8788@gmail.com
部副,,,,,,,S01,,pai8788@gmail.com
明王,,,,,,,S01,,pai8788@gmail.com
制定戒律,,,,,,,S01,,pai8788@gmail.com
比丘戒,,,,,,,S01,,pai8788@gmail.com
比丘尼戒,,,,,,,S01,,pai8788@gmail.com
五戒,,,,,,,S01,,pai8788@gmail.com
邪道,,,,,,,S01,,pai8788@gmail.com
魔道,,,,,,,S01,,pai8788@gmail.com
三界,,,,,,,S01,,pai8788@gmail.com
娑婆世界,,,,,,,S01,,pai8788@gmail.com
黃羅傘,,,,,,,S01,,pai8788@gmail.com
大寶法王,,,,,,,S01,,pai8788@gmail.com
經律論,,,,,,,S01,,pai8788@gmail.com
（十部）密典,,,,,,,S01,,pai8788@gmail.com
三藏,,,,,,,S01,,pai8788@gmail.com
圓融無礙,,,,,,,S01,,pai8788@gmail.com
法王法輪,,,,,,,S01,,pai8788@gmail.com
慚愧心,,,,,,,S01,,pai8788@gmail.com
悟境,,,,,,,S01,,pai8788@gmail.com
徹見,,,,,,,S01,,pai8788@gmail.com
聞思修,,,,,,,S01,,pai8788@gmail.com
明知故犯,,,,,,,S01,,pai8788@gmail.com
知戒犯戒,,,,,,,S01,,pai8788@gmail.com
三昧耶嚴慎部戒,,,,,,,S01,,pai8788@gmail.com
多重戒律,,,,,,,S01,,pai8788@gmail.com
燒一柱香,,,,,,,S01,,pai8788@gmail.com
修佛塔,,,,,,,S01,,pai8788@gmail.com
加行,,,,,,,S01,,pai8788@gmail.com
正修,,,,,,,S01,,pai8788@gmail.com
（作/行/建立/積纍）功德,,,,,,,S01,,pai8788@gmail.com
功德山,,,,,,,S01,,pai8788@gmail.com
净業；不净業,,,,,,,S01,pure karma; impure karma,pai8788@gmail.com
悟性,,,,,,,S01,,pai8788@gmail.com
三寶總相,,,,,,,S01,,pai8788@gmail.com
聖者上師,,,,,,,S01,the Holy Master,pai8788@gmail.com
一代宗師,,,,,,,S01,,pai8788@gmail.com
德行,,,,,,,S01,,pai8788@gmail.com
具德上師,,,,,,,S01,,pai8788@gmail.com
如來正法,,,,,,,S01,,pai8788@gmail.com
昧因果；違背因果,,,,,,,S01,,pai8788@gmail.com
庇佑,,,,,,,S01,,pai8788@gmail.com
有求必應,,,,,,,S01,,pai8788@gmail.com
光明無量,,,,,,,S01,,pai8788@gmail.com
神通無量：無量神通,,,,,,,S01,limitless supernormal/miraculous powers,pai8788@gmail.com
妙智無礙,,,,,,,S01,,pai8788@gmail.com
七十二億恆河沙,,,,,,,S01,,pai8788@gmail.com
諸佛菩薩,,,,,,,S01,,pai8788@gmail.com
常樂受用,,,,,,,S01,,pai8788@gmail.com
業力清凈,,,,,,,S01,,pai8788@gmail.com
無過之行,,,,,,,S01,,pai8788@gmail.com
大喇嘛,,,,,,,S01,,pai8788@gmail.com
導師,,,,,,,S01,,pai8788@gmail.com
乘愿再來,,,,,,,S01,,pai8788@gmail.com
應世化渡,,,,,,,S01,,pai8788@gmail.com
大摩訶薩,,,,,,,S01,,pai8788@gmail.com
初地不知二地事，五地豈知十地行,,,,,,,S01,,pai8788@gmail.com
導化,,,,,,,S01,,pai8788@gmail.com
迷惑衆生；誑惑衆生,,,,,,,S01,,pai8788@gmail.com
塵垢,,,,,,,S01,,pai8788@gmail.com
宿業,,,,,,,S01,,pai8788@gmail.com
因地菩薩,,,,,,,S01,,pai8788@gmail.com
第六天魔王,,,,,,,S01,,pai8788@gmail.com
魔眾,,,,,,,S01,,pai8788@gmail.com
持咒修觀,,,,,,,S01,chant a certain mantra and practice visualization,pai8788@gmail.com
滅度,,,,,,,S01,,pai8788@gmail.com
五百羅漢,,,,,,,S01,,pai8788@gmail.com
阿難,,,,,,,S01,,pai8788@gmail.com
印證,,,,,,,S01,,pai8788@gmail.com
百龍三藏？；白龍三藏,,,,,,,S01,,pai8788@gmail.com
四部瑜伽,,,,,,,S01,,pai8788@gmail.com
結夏,,,,,,,S01,,pai8788@gmail.com
消夏,,,,,,,S01,,pai8788@gmail.com
三藏通圓（圓通）,,,,,,,S01,,pai8788@gmail.com
自立宗派,,,,,,,S01,,pai8788@gmail.com
我執我見,,,,,,,S01,self attachment and a view of self,pai8788@gmail.com
世間八法（利衰毀譽稱譏苦樂）；八風,,,,,,,S01,,pai8788@gmail.com
《智度論》行宗記,,,,,,,S01,,pai8788@gmail.com
三教九流,,,,,,,S01,,pai8788@gmail.com
外道,,,,,,,S01,,pai8788@gmail.com
執幻爲真,,,,,,,S01,,pai8788@gmail.com
正念明覺,,,,,,,S01,,pai8788@gmail.com
六時；恆時,,,,,,,S01,,pai8788@gmail.com
恩德,,,,,,,S01,,pai8788@gmail.com
償報,,,,,,,S01,,pai8788@gmail.com
感恩,,,,,,,S01,,pai8788@gmail.com
金剛菩薩,,,,,,,S01,,pai8788@gmail.com
渡生方便,,,,,,,S01,,pai8788@gmail.com
做早晚課,,,,,,,S01,,pai8788@gmail.com
誦經,,,,,,,S01,,pai8788@gmail.com
恭讀論著,,,,,,,S01,,pai8788@gmail.com
怖畏境,,,,,,,S01,,pai8788@gmail.com
生死事大，無常迅速,,,,,,,S01,,pai8788@gmail.com
得大解脫,,,,,,,S01,,pai8788@gmail.com
早證菩提,,,,,,,S01,,pai8788@gmail.com
好生念佛,,,,,,,S01,,pai8788@gmail.com
善待有情衆生,,,,,,,S01,,pai8788@gmail.com
刹那間,,,,,,,S01,,pai8788@gmail.com
弄虛作假,,,,,,,S01,,pai8788@gmail.com
火山地獄,,,,,,,S01,,pai8788@gmail.com
油鍋,,,,,,,S01,,pai8788@gmail.com
真實不虛,,,,,,,S01,,pai8788@gmail.com
如來藏體性,,,,,,,S01,,pai8788@gmail.com
施主,,,,,,,S01,,pai8788@gmail.com
感召,,,,,,,S01,,pai8788@gmail.com
（收）供養,,,,,,,S01,(receive) offerings,pai8788@gmail.com
上供,,,,,,,S01,,pai8788@gmail.com
觀照護法,,,,,,,S01,,pai8788@gmail.com
感想體悟,,,,,,,S01,,pai8788@gmail.com
牛頭馬面,,,,,,,S01,,pai8788@gmail.com
上刀山,,,,,,,S01,,pai8788@gmail.com
坐蓮花,,,,,,,S01,,pai8788@gmail.com
入魔,,,,,,,S01,,pai8788@gmail.com
獻酥油,,,,,,,S01,,pai8788@gmail.com
點長明燈,,,,,,,S01,,pai8788@gmail.com
點酥油燈,,,,,,,S01,,pai8788@gmail.com
廟宇,,,,,,,S01,,pai8788@gmail.com
僧侶,,,,,,,S01,,pai8788@gmail.com
未來佛,,,,,,,S01,,pai8788@gmail.com
燃燈佛,,,,,,,S01,,pai8788@gmail.com
降伏魔障,,,,,,,S01,,pai8788@gmail.com
降魔除妖,,,,,,,S01,,pai8788@gmail.com
沙彌戒,,,,,,,S01,,pai8788@gmail.com
護法菩薩,,,,,,,S01,,pai8788@gmail.com
不背謗師行戒,,,,,,,S01,,pai8788@gmail.com
迷行外道戒,,,,,,,S01,,pai8788@gmail.com
妄語騙師戒,,,,,,,S01,,pai8788@gmail.com
